rank	count	tag
164	1	"Hyper-Rap, Acapella, Ancient Throat Singing, Fast Human Beatboxing, Experiment
165	1	[Add metallic bell sounds rhythmic] Use strong percussion (dhol + war drums) Fem
166	1	[Artist: P.H.K.D. (Pure Honest Kabir Driven) Genre: Trans UX, use ambience sound
167	1	[Cinematic World-Fusion, Deep Spiritual Qawwali vocals mixed with High-Impact UK
168	1	[Cinematic World-Fusion, Deep Spiritual Qawwali Vocals, 142 BPM, UK Drill influe
169	1	[Genre: Acoustic Hindustani classical folk fusion, jagarana night vigil, father-
170	1	[Genre: Afrobeat, Afro-fusion, Indian folk fusion, spiritual, philosophical, tal
171	1	[Genre: Afrobeat, Afro-fusion, Nigerian folk, Indian folk fusion, talking drum,
172	1	[Genre: Afrobeat, Chinese folk fusion, Erhu, Guzheng, talking drum, deep bass, s
173	1	[Genre: Afrobeat, Chinese folk, Erhu, Guzheng, Telugu folk, Tamil folk, Bangla f
174	1	[Genre: Afrobeat, Indian folk fusion, Telugu folk, Tamil folk, Bangla folk, Erhu
175	1	[Genre: Cyberpunk, Industrial Hip-Hop, Hindi Protest Rap, Dark Synthwave] [BPM:
176	1	[Genre: Hindustani classical meets dark ambient trance, Bhairavi raga, slow burn
177	1	[Genre: HyperRa, Boom Bap, Cyberpunk, High Tempo Rap] [BPM: 120-140] [Vocal Styl
178	1	[Genre: Hyperrap, Haryanvi folk, Afghan dambura, rubab, dhol, bakhshi style, fas
179	1	[Genre: Psytrance, Funky House, Hyperpop, Indian Fusion, 145 BPM, Male Vocals,
180	1	[Genre: Rajasthani Folk Horror × Disco × Dark Electronic] [BPM: 128, Key: D mino
181	1	[Genre: Viral Funk, Hindi Dance Pop, Ghetto Funk, Bollywood Bass, TikTok Ready,
182	1	[Genre: Viral Funk, Hindi Disco, Ghetto Funk, Bollywood Bass, TikTok Dance Chall
183	1	[Genre: World fusion, Afrobeat, Chinese Erhu, Telugu Nadhaswaram, Tamil Thavil,
184	1	[Intro: Atmospheric Flute and Cosmic Pads] [Verse: Soulful Indian Male Vocals, D
185	1	[Intro] – Spoken word / wind sound (Ghazal mood)  [DROP] – Heavy 808 + drill per
186	1	[Style of Music: Global Sovereign Calibration] Hyper-dynamic K-12 educational fu
187	1	[style: devotional drill, Indian bhajan meets Sexy Drill, 60 BPM, harmonium + he
188	1	[Style: Hybrid Sufi composition — alternating between solo spoken-word Nazm and
189	1	[Style: Indian classical fusion, dark devotional, sufi rock, slow tempo, male vo
190	1	[style: Indian folk bhajan meets West Coast G-Funk hip-hop, slow tempo, harmoniu
191	1	[Style: Nautanki-Swang-Qawwali hybrid audio drama. Single male vocalist performi
192	1	[Style: Opera + Hyper-rap + Trap Metal + Cinematic Orchestra, aggressive male te
193	1	[Style: Qawwali with heavy taan, murki, toda, Hindustani classical ornamentation
194	1	[Style: Rajasthani Folk + Bhakti Rap + Ambient Cinematic]  [Tempo: 88 BPM] [Scal
195	1	[Style: Slow emotional ghazal, Sufi, male voice, crying tone, melancholic, acous
196	1	[Style: Sufi devotional, slow meditative recitation, no rhythm, no beat, only de
197	1	[Style: Sufi Qawwali mixed with modern Beatbox, Acoustic, Spiritual, Mystical, S
198	1	[Style: Sufi, Acoustic Lullaby, Indian Folk, Soft Male Vocals, Harmonium, Tabla,
199	1	[Style: Three-voice dialogue Qawwali. Characters: Raskhan (Braj, mischievous, su
200	1	[Style: Traditional Qawwali sung in Braj Bhasha dialect, Sufi devotional tone, m
201	1	[Style: Traditional Qawwali, male lead vocal with 3-voice male chorus, harmonium
202	1	[Style: Traditional Sufi Qawwali, Hindustani classical, Raga Todi, slow harmoniu
203	1	[Title] खोकन और पराई नाव — Cosmic Rigveda Folk Rap  [Style] Rigvedic Chant + Ben
204	1	🎤 haryanvi ragni suparfun vs vedant chanting
205	1	🎤 QUANTUM ANTHEM (HUMAN SOUND VERSION)
206	1	🎤 QUANTUM ANTHEM (HUMAN SOUND VERSION) (90 BPM | Body Percussion + Breath + Voic
207	1	🎬 🎭 FULL STAGE SETUP (LIVE PERFORMANCE) 🌌 Stage Zones Left (🔥 DWAIT ZONE): Orang
208	1	🎵 Song: Ka Kaa Rahasya (The Secret of 'Ka') Style: Neural Narrative mystical bal
209	1	🎵 गीत (Lyrics): उल्टी चाल चल पड़े शिव राग: भैरवी (सुबह का राग, करुण रस से भरपूर)
210	1	145 BPM, Heavy Psytrance and Haryanvi Folk Fusion, Gritty Haryanvi Female Vocals
211	1	3 female
212	1	a war cry of a child to bhaarat maa tera Pop, Indie Pop men tera naketa shaitaan
213	1	Acoustic Neural Trans fused with Raw Crisp Drill Beats, emotional Sufi-Drill voc
214	1	Acoustic Ritual Trance. 140 BPM. NO ELECTRONICS. Raw human claps, sharp metallic
215	1	Aggressive cinematic Vedic folk-hop epic, 115 BPM, intense traditional Chalisa r
216	1	Aggressive Haryanvi Hyperrap fused with powerful Sufi Qawwali claps, crushing di
217	1	Aggressive Indian philosophical hip-hop rap. Deep male voice with powerful deliv
218	1	ancient instruments.. folk raw celebrations.. ancient sounds of joy
219	1	Atmospheric Afro-Zen x Deep Minimalism. 110 BPM.  Texture: आवाज़ों के बजाय 'Space
220	1	Atmospheric Aghori Chants, Tribal Trance, Haryanvi Folk-Blues Fusion. Starts wit
221	1	Bilingual indie ballad in E minor, 68 BPM. 432 Hz tanpura drone throughout (121.
222	1	Binaural cinematic spoken word, dual voices (female energetic left, male calm ri
223	1	Braj folk mixed with funky pop. Bollywood dance style. Fast tempo 115 BPM. Male
224	1	breathless rap
225	1	Chinese folk melody + Sufi Qawwali + philosophical hip-hop rap fusion. Male powe
226	1	Cinematic Afro-Drill x Vedic Industrial. 110 BPM. Vocal: Deep, commanding barito
227	1	Cinematic Dark Vedic-Trap, 90 BPM Hypnotic Shamanic Pulse, Multi-vocal arrangeme
228	1	Cinematic Modern Ghazal, Dark Ambient, Ethereal Baritone Male Vocals, Deep Cello
229	1	Cinematic Neural-Raaga Fusion, 432Hz Sacred Tuning. Industrial Tribal-Rock, Aggr
230	1	Cinematic qawwali, Raga Todi, thousands of gopis + Radha solo, 60-120 BPM, femal
231	1	Cinematic Vedic Neural-Raaga Fusion, 432Hz Sacred Tuning. Industrial Tribal-Rock
232	1	Cinematic Vedic Trap, Massive 808 Bass, 140 BPM, Deep Atmospheric Reverb, Ancien
233	1	Cinematic Vedic-Blues Fusion, Aggressive ग्लोबल   Folk, Deep Guttural Aghori Cha
234	1	Cinematic Vedic-Blues Fusion, Aggressive भोजपुरी  Folk-Rock, Deep Guttural Aghor
235	1	Cinematic World-Sufi Fusion, Avant-garde Qawwali, Mournful Armenian Duduk Intro,
236	1	Classical & Raag
237	1	Cosmic Earth Anthem.  Genre: Indian folk + cinematic orchestral + Vedic chant +
238	1	create a cinematic bollywoodstyle patriotic anthem sung from the perspective of
239	1	create a haryanvi bollywood patriotic blockbuster song about a brave indian sold
240	1	Create a mystical Aghor Nagini trance track with pungi (snake-charmer flute), kh
241	1	cyberpunk+hyper rap + classical + narrator=divine awakening
242	1	dada potaa poti  gang fun.. use kids voices of various ages.. cute catchy..
243	1	Dark Aggressive Cinematic Phonk, heavy brass orchestration, ancient Indian war d
244	1	Dark cinematic Indian folk trap song with female vocals.  Theme: A powerful Hary
245	1	dark cinematic vedic rap deep bass slow trap drums haunting flute throat singing
246	1	dark erotic hip hop, hyper rap, horrorcore, trap metal, 150-180 BPM, distorted 8
247	1	dark hindustani bhajan meets ambient trance  d bhairavi  72 to 108 bpm  male gri
248	1	Deep cinematic spoken word, Indian classical fusion, ambient drone, slow heartbe
249	1	Desi haryanvi SuperFun superstar nagin. 1 soulfull pungi bridge. 1 one stringed
250	1	dj banger, full on masti, dj, dance, लहर, full on drum beats, with full on trum
251	1	Epic Bollywood film score, grand orchestral, Raag Bilawal based, male power voca
252	1	Epic Bollywood patriotic ballad, heroic male vocals, orchestral with dhol and sh
253	1	Epic cosmic knowledge rap with Sanskrit mantra chanting, Siddham script visuals,
254	1	Epic Earth Mother Anthem.  Style: Indian folk + cinematic orchestral + stadium c
255	1	Epic Haryanvi stadium anthem, folk + rap fusion, powerful male chorus, nagada dr
256	1	Epic Hindustani classical war anthem, Raag Bilawal, male heroic vocal with deep
257	1	Epic multilingual scientific rap mixing Latin chant, Sanskrit mantra, Hindi and
258	1	Epic spiritual hip-hop + Indian classical fusion, deep bass, tanpura drone, conc
259	1	epic spiritual world fusion song, powerful male qawwali singer, cinematic produc
260	1	Epic Upanishadic rap about Dhruva from Bhagavata Purana. Deep cinematic bass, ba
261	1	Epic Vedic Hip-Hop stadium anthem, powerful Hindi rap, deep cinematic bass, trap
262	1	Epic Vedic rap, Rigvedic chant intro, deep trap beat, mridangam and shankh accen
263	1	Experimental Avant-Garde Soundscape meets Indian Nautanki Street Theater. NO MUS
264	1	Fast-paced hyper-articulated phonetic staccato trap-folk, 115 BPM, rapid rhythmi
265	1	Female vocal, hyperpop / hyperrap, high energy, fast tempo 160 BPM, aggressive 8
266	1	Female vocal, Punjabi pop meets Bollywood, upbeat and celebratory yet emotional,
267	1	folk dravidian authenticity
268	1	full funky
269	1	full on masti, dj, dance, dj banger,, full on drum beats, with full on trumpet
270	1	FULL PROMPT – DO NOT EDIT  Title: Same Story / हर बार की कहानी  Genre: Bilingual
271	1	full सुपर  funky
272	1	Funky हरियाणवी folk रगनी duet  super funky
273	1	Genre: Fast-Paced Trap / Melodic Rap Neural Futurism Tempo: 150 BPM (High Energy
274	1	Genre: Haryanvi Pop, Desi Hip Hop, Upbeat Dance, Male & Female vocals (Duo), ene
275	1	Genre: Haryanvi Pop, Desi Hip Hop, Upbeat Dance, Male announcer & Female vocals
276	1	Genre: Haryanvi Pop, Desi Hip Hop, Upbeat Dance, Only Male announcer & Only Fema
277	1	Genre: Haryanvi Ragni Folk, Dangal style Tempo: 75 BPM  Instruments: Dholak, han
278	1	Genre: Indic-Sufi-Lusophone-Blues Virah Raga Tempo: 70 BPM slow emotional  Vocal
279	1	Genre: Punjabi Folk Pop / Bhangra Pop / Energetic Party Song BPM: 120-130 Mood:
280	1	Genre: Vedic-Ambient, Cinematic Folk, Cyber-Tribal, Ethno-Industrial.  Mood: Sac
281	1	Genre: World music / emotional instrumental  Mood: Deep longing, universal femal
282	1	Genre: World music / emotional instrumental  Mood: Deep longing, universal virah
283	1	Genre/Style: Braj Sankirtan, Dhrupad-folk fusion, Raw Devotional, Indian Temple
284	1	hard death rock  vedic sanskrit
285	1	Hard Divine Hip-Hop with Sufi spiritual undertone. Hindi rap, deep powerful male
286	1	Hard divine hip-hop, philosophical rap, deep Indian spiritual vibe, male powerfu
287	1	Hard philosophical divine hip-hop, Indian spiritual rap, deep male voice, mystic
288	1	hard philosophical rap indian spiritual hiphop deep male voice aggressive delive
289	1	Haryanvi Accent , Style: Haryanvi Ragani   Vibe: शुरू में भावुक (Emotional) और ध
290	1	Haryanvi Folk + Indian Classical + Hyper-Rap Fusion. Suno v4. Dynamic genre swit
291	1	Haryanvi Folk + Rajasthani Folk + Indian Classical + Hyper-Rap Fusion. Suno v4.
292	1	Haryanvi folk fusion song with emotional rural storytelling. Male raw voice with
293	1	haryanvi quebradita fusion Banda, Regional Mexican, Technobanda bright staccato
294	1	Haryanvi ragni folk song with  only मिनिमल traditional instruments. Use matka ,
295	1	haryanvi ragni fusion male
296	1	Haryanvi Ragni Rock, Aggressive Male Folk Vocals, Heavy Sarangi, Industrial Drum
297	1	haryanvi super energy  rap
298	1	haryanvi tamil folk trance
299	1	Haryanvi-Trap... राग पीलू की धुन को मुख्य हुक में रख सकते हैं और 'रैप' वाले हिस्
300	1	Haunting Female Vocals, Soprano textures, Cinematic Urdu Drill, 140 BPM, Melodic
301	1	Heavy cinematic Vedic metal-phonk epic, 115 to 142 BPM, roaring traditional dhol
302	1	Heavy Industrial Drop, Vedic chanting trap mix, fast-paced aggressive rap cadenc
303	1	High-energy Cyberpunk Phonk fused with Aggressive Indian Folk, punchy industrial
304	1	High-energy Cyberpunk Phonk, traditional Indian folk accents, punchy aggressive
305	1	High-energy Haryanvi Trap-Folk Fusion, Heavy 808 Bass, Cinematic Sound Design, T
306	1	hyper rap + classical + narrator=divine awakening
307	1	Hyper-aggressive cinematic Vedic folk-hop epic, 115 BPM, rapid-fire phonetic sta
308	1	Indian devotional folk song, female chorus with male lead, emotional and uplifti
309	1	Indian hip hop fusion, boom bap beat, tabla percussion, tanpura drone, cinematic
310	1	Indian philosophical hip-hop with spiritual undertones. Deep reflective male voi
311	1	Indian spiritual hip hop anthem, boom bap drums with dhol and khartal, sitar mel
312	1	Industrial Afro-Drill with a "Boss-Level" Cinematic Intro. 110 BPM. Vibe: Defian
313	1	Intro: Whisper + slow breath + distant “हाय…”  Beat Start: Heartbeat (dhak dhak)
314	1	maataa gangaur aashirwaad
315	1	Meditative Sufi Qawwali, 432Hz deep drone, Cinematic Ambient, Ethereal Armenian
316	1	Modern Sufi Qawwali, divine male vocals, slow emotional tempo, harmonium, soft t
317	1	Neo-Vedic Phonk meets Afro-Drill. 110 BPM.  Instrumentation: > * Intro (0:00-0:0
318	1	Neuro-Tantra Devotional Trance Start: whisper + tanpura (no beat) Gradually add
319	1	Opera + Punjabi folk fusion ballad. Key: E minor (operatic) over E Punjabi folk
320	1	Playful energetic Indian classical folk-pop, 112 BPM, bouncy tech-folk sarangi,
321	1	Psychedelic Haryanvi Folk-Trance, 140 BPM, Piercing Ethnic Been (Snake Charmer F
322	1	Qawwali, traditional Pakistani/Indian Sufi devotional music, slow to fast build
323	1	Raga Todi qawwali, 70 to 110 BPM, female devotional voice, bansuri, harmonium, t
324	1	rajisthaani group of snake charmers with been controlling karna pishaachini. neu
325	1	Raw Aggressive Indian Drill Phonk, heavy distorted 808 bass, crisp metallic perc
326	1	Raw Aggressive Indian Drill Phonk, heavy distorted 808 sub-bass, crisp metallic
327	1	Raw horror folk. Haryanvi male vocal - broken, crying, manic. Female vampire voc
328	1	Revolutionary Hindi rap mixed with Sufi folk. Male deep voice, intense delivery.
329	1	Soulful Haryanvi folk, 100 BPM, male lead vocalist, breathy female backing vocal
330	1	Style Descriptor: > Epic Ancient-Futuristic Fusion, Haryanvi Ragni meets Dravidi
331	1	style desi hip hop rajasthani folk fusion heavy bass fast beat male aggressive v
332	1	Style: Cyberpunk Hip Hop, Hyper-rap, Industrial Trap, 160 BPM, D# minor  Vocal:
