id	kind	title	station	theme	language	styleSanitized	promptLineCount	lyricLineCount	timingBasis	timingVerified	primaryLyricsSource
39c60af7-873d-464c-ab83-86a116aa3a19	catalog-track	ह्-हनु अनुमान	kabir-clubbing	Rap & Fusion	Hindi	Fast-paced hyper-articulated phonetic staccato trap-folk, 115 BPM, rapid rhythmi	7	4	ffprobe-duration	false	_radio_index/suno_backup/lyrics/2026-05-24_39c60af7_ह्-हनु अनुमान.txt
0691bbaf-1f16-453a-9c00-0eecd71d1e14	catalog-track	३३-डिजिट नियॉन	sanaatana-vaigyaniq	Sanatan & Vedic	Sanskrit	Hyper-aggressive cinematic Vedic folk-hop epic, 115 BPM, rapid-fire phonetic sta; (Chorus Drop - Aggressive 'Chhat!' strike):	29	21	ffprobe-duration	false	_radio_index/suno_backup/lyrics/2026-05-24_0691bbaf_३३-डिजिट नियॉन.txt
5873f9a6-c7cc-475b-8560-a6200c367731	catalog-track	हनु-मान् हनु	gurukul	Other / Misc	Hindi	[Style of Music: Global Sovereign Calibration] Hyper-dynamic K-12 educational fu; STAGE 2: MIDDLE EMPIRE (Classes 6 to 8) | 125 - 145 BPM; STAGE 3: SECONDARY & BOARD EMPIRE (Classes 9 & 10) | 148 - 150 BPM; STAGE 4: SENIOR SECONDARY APEX (Classes 11 & 12) | 152 - 155 BPM	32	29	ffprobe-duration	false	_radio_index/suno_backup/lyrics/2026-05-24_5873f9a6_हनु-मान् हनु.txt
bcb08d50-076e-4408-ae04-389701191ee3	catalog-track	Vocals : "हा... हू... हौ... हन्... हनु... हनु...	sanaatana-vaigyaniq	Sanatan & Vedic	English	Sanatan & Vedic; STAGE 2: MIDDLE EMPIRE (Classes 6 to 8) | 125 - 145 BPM; STAGE 3: SECONDARY & BOARD EMPIRE (Classes 9 & 10) | 148 - 150 BPM; STAGE 4: SENIOR SECONDARY APEX (Classes 11 & 12) | 152 - 155 BPM	32	29	ffprobe-duration	false	_radio_index/suno_backup/lyrics/2026-05-24_bcb08d50_हनु-मान् हनु.txt
31cd60d6-6b7d-4e15-9847-9c3866d60440	catalog-track	जुग सहस्र जोजन पर भानू	sanaatana-vaigyaniq	Sanatan & Vedic	Sanskrit	Sanatan & Vedic; (Chorus Drop - Sharp 'Chhat!' strike):	29	18	ffprobe-duration	false	_radio_index/suno_backup/lyrics/2026-05-24_31cd60d6_चक्र-इंजन शंखनाद.txt
7333a108-d5a5-4cf4-9e36-6ce6aec10997	catalog-track	Chhat-Chhat Sanaatana	gurukul	Other / Misc	English	NULL	14	13	ffprobe-duration	false	_radio_index/suno_backup/lyrics/2026-05-24_7333a108_Chhat-Chhat Sanaatana.txt
1fe3b620-3a18-4632-b128-12c1b2245f47	catalog-track	Hyper-dynamic Indian electronic folk-pop	sanaatana-vaigyaniq	Sanatan & Vedic	English	Sanatan & Vedic	14	13	ffprobe-duration	false	_radio_index/suno_backup/lyrics/2026-05-24_1fe3b620_Chhat-Chhat Sanaatana.txt
83db2f7e-ae48-418d-9587-c807af8e24e3	catalog-track	चक्र-इंजन शंखनाद	sanaatana-vaigyaniq	Sanatan & Vedic	Sanskrit	Aggressive cinematic Vedic folk-hop epic, 115 BPM, intense traditional Chalisa r; (Chorus Drop - Sharp 'Chhat!' strike):	29	18	ffprobe-duration	false	_radio_index/suno_backup/lyrics/2026-05-24_83db2f7e_चक्र-इंजन शंखनाद.txt
9b8b2f04-0e8b-4270-af63-84bd21bb7574	catalog-track	```text	sanaatana-vaigyaniq	Sanatan & Vedic	English	Sanatan & Vedic	41	34	ffprobe-duration	false	_radio_index/suno_backup/lyrics/2026-05-24_9b8b2f04_द सनातन एक्सप्रेस.txt
1f6a6bc0-d85f-4858-b13d-776e839401cf	catalog-track	द सनातन एक्सप्रेस	sanaatana-vaigyaniq	Sanatan & Vedic	Sanskrit	NULL	41	34	ffprobe-duration	false	_radio_index/suno_backup/lyrics/2026-05-24_1f6a6bc0_द सनातन एक्सप्रेस.txt
ce81e083-36e5-4e52-9024-06159cb42409	catalog-track	काश वो बचपन फिर से लौट आए	kabir-clubbing	Bhakti & Katha	Hindi	Bhakti & Katha; Braj Folk + Funky Pop + Electro Bhangra + Bollywood Dance; Tempo: Fast, 115 BPM, Groovy, Head-nodding beat; Chorus - Catchy & Hook; Post-Chorus - Funky; Final Chorus - High energy	31	28	ffprobe-duration	false	_radio_index/suno_backup/lyrics/2026-05-24_ce81e083_Kash Bachpan Phir.txt
684a2e17-9992-459b-970a-279f3f506e59	catalog-track	Kash Bachpan Phir	gurukul	Other / Misc	English	Braj folk mixed with funky pop. Bollywood dance style. Fast tempo 115 BPM. Male; Braj Folk + Funky Pop + Electro Bhangra + Bollywood Dance; Tempo: Fast, 115 BPM, Groovy, Head-nodding beat; Chorus - Catchy & Hook; Post-Chorus - Funky; Final Chorus - High energy	31	28	ffprobe-duration	false	_radio_index/suno_backup/lyrics/2026-05-24_684a2e17_Kash Bachpan Phir.txt
6d0a9964-c0d3-45cf-925a-c9fa28f97ba3	catalog-track	काश वो बचपन फिर से लौट आए	kabir-clubbing	Bhakti & Katha	Hindi	Bhakti & Katha; Intro - Tabla and Harmonium - Soft; Verse 1 - Raga Bhairav feel; Chorus - Raga Yaman feel; Verse 2 - Raga Hindol feel; Bridge - Spoken word with soft Harmonium; Chorus - Raga MalKauns feel - Higher intensity; Outro - Raga Bhairavi - Soft, Fading; Fade out with Harmonium and Tabla	23	23	ffprobe-duration	false	_radio_index/suno_backup/lyrics/2026-05-24_6d0a9964_छत की चादर.txt
2cde1a1a-4b66-4a74-ba16-bd13a1f93fd4	catalog-track	छत की चादर	sanaatana-vaigyaniq	Classical & Raag	Hindi	[Style: Hindustani Classical + Folk + Bollywood Sad + Acoustic Guitar + Tabla +; Intro - Tabla and Harmonium - Soft; Verse 1 - Raga Bhairav feel; Chorus - Raga Yaman feel; Verse 2 - Raga Hindol feel; Bridge - Spoken word with soft Harmonium; Chorus - Raga MalKauns feel - Higher intensity; Outro - Raga Bhairavi - Soft, Fading; Fade out with Harmonium and Tabla	23	23	ffprobe-duration	false	_radio_index/suno_backup/lyrics/2026-05-24_2cde1a1a_छत की चादर.txt
467d741a-c022-402a-b47d-0a2abb53f043	catalog-track	छत वाला सितारों	sanaatana-vaigyaniq	Classical & Raag	Hindi	[Style: Hindustani Classical + Folk + Bollywood Sad + Acoustic Guitar + Tabla +; Intro - Tabla and Harmonium - Soft; Verse 1 - Raga Bhairav feel; Chorus - Raga Yaman feel; Verse 2 - Raga Hindol feel; Bridge - Spoken word with soft Harmonium; Chorus - Raga MalKauns feel - Higher intensity; Outro - Raga Bhairavi - Soft, Fading; Fade out with Harmonium and Tabla	23	23	ffprobe-duration	false	_radio_index/suno_backup/lyrics/2026-05-24_467d741a_छत वाला सितारों.txt
b1bd425e-a117-432d-81ca-2acb4c87fa00	catalog-track	काश वो बचपन फिर से लौट आए	kabir-clubbing	Bhakti & Katha	Hindi	Bhakti & Katha; Intro - Tabla and Harmonium - Soft; Verse 1 - Raga Bhairav feel; Chorus - Raga Yaman feel; Verse 2 - Raga Hindol feel; Bridge - Spoken word with soft Harmonium; Chorus - Raga MalKauns feel - Higher intensity; Outro - Raga Bhairavi - Soft, Fading; Fade out with Harmonium and Tabla	23	23	ffprobe-duration	false	_radio_index/suno_backup/lyrics/2026-05-24_b1bd425e_छत वाला सितारों.txt
832210ad-c382-4ee4-8099-264df30ef06c	catalog-track	ताल: आदि तीव्र	sanaatana-vaigyaniq	Sanatan & Vedic	Sanskrit	Sanatan & Vedic	128	127	ffprobe-duration	false	_radio_index/suno_backup/lyrics/2026-05-24_832210ad_काली-कलम-का.txt
236a15f1-5e9d-4489-9d6a-28e76211f10f	catalog-track	काली-कलम-का	kabir-clubbing	Naagin & Mystic	Hindi	. 🎵 KA KAA RAHASYA (क का रहस्य) [मृदंगम – – सारंगी संग ] Add sargam notation (	128	127	ffprobe-duration	false	_radio_index/suno_backup/lyrics/2026-05-24_236a15f1_काली-कलम-का.txt
58a470f5-a299-4fb9-b539-f879df9db3c0	catalog-track	🎵 ka kaa rahasya niraalaa	sanaatana-vaigyaniq	Sanatan & Vedic	English	Sanatan & Vedic	99	97	ffprobe-duration	false	_radio_index/suno_backup/lyrics/2026-05-24_58a470f5_कागद काली कलम.txt
d85bffd9-6420-4844-bef4-34a1ed0cfffd	catalog-track	🎵 क का रहस्य निराला	sanaatana-vaigyaniq	Sanatan & Vedic	Sanskrit	Sanatan & Vedic	83	82	ffprobe-duration	false	_radio_index/suno_backup/lyrics/2026-05-24_d85bffd9_काली कलम.txt
2cba3a04-39a7-4cb7-8c74-33800f3a25d7	catalog-track	काली कलम	kabir-clubbing	Naagin & Mystic	Hindi	. 🎵 KA KAA RAHASYA (क का रहस्य) A Narrator-Style Neural Mystical Ballad Directi	83	82	ffprobe-duration	false	_radio_index/suno_backup/lyrics/2026-05-24_2cba3a04_काली कलम.txt
8aee516c-0320-41bb-9f30-695a8a3b34df	catalog-track	कागद काली कलम	gurukul	Other / Misc	Hindi	NULL	99	97	ffprobe-duration	false	_radio_index/suno_backup/lyrics/2026-05-24_8aee516c_कागद काली कलम.txt
3c08a390-57b0-4deb-b710-ffd81cd63cec	catalog-track	Ka Kau Question	kabir-clubbing	Naagin & Mystic	English	🎵 Song: Ka Kaa Rahasya (The Secret of 'Ka') Style: Neural Narrative mystical bal	131	126	ffprobe-duration	false	_radio_index/suno_backup/lyrics/2026-05-24_3c08a390_Ka Kau Question.txt
c086c759-c522-42a2-9718-bf85eb3d3dc7	catalog-track	ekla chalo re... nahi	sanaatana-vaigyaniq	Sanatan & Vedic	English	Sanatan & Vedic	131	126	ffprobe-duration	false	_radio_index/suno_backup/lyrics/2026-05-24_c086c759_Ka Kau Question.txt
0d2391f0-56a0-4e55-b0a6-3054cf623259	catalog-track	Kaahe Kaagaz	gurukul	Other / Misc	English	NULL	112	112	ffprobe-duration	false	_radio_index/suno_backup/lyrics/2026-05-24_0d2391f0_Kaahe Kaagaz.txt
8eb95048-e740-4624-99bf-e1c3293c9dfb	catalog-track	Kaahe Kaagaz	gurukul	Other / Misc	English	NULL	112	112	ffprobe-duration	false	_radio_index/suno_backup/lyrics/2026-05-24_8eb95048_Kaahe Kaagaz.txt
e0c8c103-aedf-4560-a5f1-875275518f0f	catalog-track	Kaal Likhe Kaal	gurukul	Other / Misc	English	NULL	112	112	ffprobe-duration	false	_radio_index/suno_backup/lyrics/2026-05-24_e0c8c103_Kaal Likhe Kaal.txt
da4174c6-2d45-4d98-8050-72dcb85f6fb9	catalog-track	ka kau ke	gurukul	Other / Misc	English	Other / Misc	112	112	ffprobe-duration	false	_radio_index/suno_backup/lyrics/2026-05-24_da4174c6_Kaal Likhe Kaal.txt
f090d601-40e5-4874-b303-4bc84220564c	catalog-track	ka kau ke	sanaatana-vaigyaniq	Sanatan & Vedic	English	Sanatan & Vedic	51	51	ffprobe-duration	false	_radio_index/suno_backup/lyrics/2026-05-24_f090d601_Kaa Rahasya.txt
dec1c74f-f3ae-4b2b-b293-27081aef1c5e	catalog-track	Kaa Rahasya	gurukul	Other / Misc	English	NULL	51	51	ffprobe-duration	false	_radio_index/suno_backup/lyrics/2026-05-24_dec1c74f_Kaa Rahasya.txt
6c05306f-bf60-44fc-9a7c-cd6a8d07190d	catalog-track	छुक-छुक चलती भाषा की गाड़ी	ameerpur	Love & Virah	Hindi	Love & Virah; (Chorus)	28	22	ffprobe-duration	false	_radio_index/suno_backup/lyrics/2026-05-23_6c05306f_छुक-छुक गाडी़.txt
c0a0b8a2-6b5b-4c50-a7d1-5bd85bd7e24d	catalog-track	छुक-छुक गाड़ी	sanaatana-vaigyaniq	Classical & Raag	Hindi	Playful energetic Indian classical folk-pop, 112 BPM, bouncy tech-folk sarangi,; (Chorus)	28	22	ffprobe-duration	false	_radio_index/suno_backup/lyrics/2026-05-23_c0a0b8a2_छुक-छुक गाडी़.txt
8334c7f3-00ab-48e5-8e90-fae9c7898ec4	catalog-track	छुक-छुक भाषा गाड़ी	gurukul	Other / Misc	Hindi	Playful energetic Indian electronic folk-pop, 112 BPM, bouncy tech-folk drums, c; (Chorus)	28	22	ffprobe-duration	false	_radio_index/suno_backup/lyrics/2026-05-23_8334c7f3_छुक-छुक भाषा गाडी़.txt
130d4a7c-79cc-4c0e-827e-a011ef1e0689	catalog-track	छुक-छुक भाषा गाड़ी	gurukul	Other / Misc	Hindi	Playful energetic Indian electronic folk-pop, 112 BPM, bouncy tech-folk drums, c; (Chorus)	28	22	ffprobe-duration	false	_radio_index/suno_backup/lyrics/2026-05-23_130d4a7c_छुक-छुक भाषा गाडी़.txt
935837be-7dfb-4f7d-ae0c-36743a8de966	catalog-track	छुक-छुक चलती भाषा की गाड़ी	ameerpur	Love & Virah	Hindi	Love & Virah; (Chorus)	28	22	ffprobe-duration	false	_radio_index/suno_backup/lyrics/2026-05-23_935837be_छुक-छुक भाषा गाडी़.txt
4de46a49-de10-4bc4-8e89-bded6e92e5e8	catalog-track	छुक-छुक भाषा गाड़ी	gurukul	Other / Misc	Hindi	Playful energetic Indian electronic folk-pop, 112 BPM, bouncy tech-folk drums, c; (Chorus)	28	22	ffprobe-duration	false	_radio_index/suno_backup/lyrics/2026-05-23_4de46a49_छुक-छुक भाषा गाडी़.txt
d3047e94-747e-478b-84d0-ebcd931b6ebf	catalog-track	छुक-छुक कोडिंग गाड़ी	gurukul	Other / Misc	Hindi	Playful energetic Indian electronic folk-pop, 112 BPM, bouncy tech-folk drums, c; (Chorus)	36	30	ffprobe-duration	false	_radio_index/suno_backup/lyrics/2026-05-23_d3047e94_छुक-छुक कोडिंग गाडी़.txt
9438a33e-1869-4686-89f7-2b1b3746fbe8	catalog-track	छुक-छुक चलती कोडिंग की गाड़ी	sanaatana-vaigyaniq	Sanatan & Vedic	Sanskrit	Sanatan & Vedic; (Chorus)	36	30	ffprobe-duration	false	_radio_index/suno_backup/lyrics/2026-05-23_9438a33e_छुक-छुक कोडिंग गाडी़.txt
61a1c2e8-6e9b-4636-b976-9c0a3c82cc60	catalog-track	राजधर्म चक्र	sanaatana-vaigyaniq	Sanatan & Vedic	Sanskrit	Heavy Industrial Drop, Vedic chanting trap mix, fast-paced aggressive rap cadenc; (Chorus)	41	34	ffprobe-duration	false	_radio_index/suno_backup/lyrics/2026-05-23_61a1c2e8_राजधर्म चक्र.txt
2ed5e119-5a3e-4f8f-9802-0b0a921375b4	catalog-track	महामात्य का आदेश सुनो अब	sanaatana-vaigyaniq	Sanatan & Vedic	Sanskrit	Sanatan & Vedic; (Chorus)	41	34	ffprobe-duration	false	_radio_index/suno_backup/lyrics/2026-05-23_2ed5e119_राजधर्म चक्र.txt
0551f9c5-85b2-43c5-a715-b29b3a10df0c	catalog-track	कबीर निर्गुण	kabir-clubbing	Bhakti & Katha	Hindi	Acoustic Neural Trans fused with Raw Crisp Drill Beats, emotional Sufi-Drill voc; (Chorus)	41	34	ffprobe-duration	false	_radio_index/suno_backup/lyrics/2026-05-23_0551f9c5_कबीर निर्गुण.txt
5791e93b-a997-4765-b8d1-c0fcbb88c384	catalog-track	धारानगरी का वो राजा	ameerpur	Desh / Patriotic	Hindi	Desh / Patriotic; (Chorus)	41	33	ffprobe-duration	false	_radio_index/suno_backup/lyrics/2026-05-23_5791e93b_संप्रभुता का डंका.txt
77a40556-adc6-4bd2-bf2d-3bfac249ad2a	catalog-track	मूल्यों के प्रति ये निष्ठा अपनी	kabir-clubbing	Bhakti & Katha	Hindi	Bhakti & Katha; (Chorus)	41	34	ffprobe-duration	false	_radio_index/suno_backup/lyrics/2026-05-23_77a40556_कबीर निर्गुण.txt
c7fabad5-bd6d-4a60-b985-ad0aae6819c3	catalog-track	चणक्य चांदी	kabir-clubbing	Rap & Fusion	Hindi	Aggressive Haryanvi Hyperrap fused with powerful Sufi Qawwali claps, crushing di; (Chorus)	47	39	ffprobe-duration	false	_radio_index/suno_backup/lyrics/2026-05-23_c7fabad5_चणक्य चांदी.txt
f9f70b24-e62f-40a2-b42f-f3a0ba272777	catalog-track	संप्रभुता का डंका	gurukul	Other / Misc	Hindi	Dark Aggressive Cinematic Phonk, heavy brass orchestration, ancient Indian war d; (Chorus)	41	33	ffprobe-duration	false	_radio_index/suno_backup/lyrics/2026-05-23_f9f70b24_संप्रभुता का डंका.txt
fc641c78-b723-4744-a9f0-93ca40542e4f	catalog-track	समाज की खोज का सुनो इतिहास	ameerpur	Haryanvi Folk	Haryanvi	Haryanvi Folk; (Chorus)	47	39	ffprobe-duration	false	_radio_index/suno_backup/lyrics/2026-05-23_fc641c78_चणक्य चांदी.txt
4573b54b-63f0-4dac-9e7a-4ba9ddf8acbc	catalog-track	समाज की खोज का सुनो इतिहास	ameerpur	Haryanvi Folk	Haryanvi	Haryanvi Folk; (Chorus)	20	16	ffprobe-duration	false	_radio_index/suno_backup/lyrics/2026-05-23_4573b54b_चाणक्य सिक्का.txt
e1ec848b-c158-4366-ba75-bb0d12943801	catalog-track	चाणक्य सिक्का	kabir-clubbing	Rap & Fusion	Hindi	Aggressive Haryanvi Hyperrap fused with powerful Sufi Qawwali claps, high-impact; (Chorus)	20	16	ffprobe-duration	false	_radio_index/suno_backup/lyrics/2026-05-23_e1ec848b_चाणक्य सिक्का.txt
2b968ed3-b8ee-44e4-ad96-e3da7d583ae0	catalog-track	कौतूहल की दुनिया में लॉजिक अपार है	kabir-clubbing	Rap & Fusion	Hindi	Rap & Fusion; (Chorus)	51	43	ffprobe-duration	false	_radio_index/suno_backup/lyrics/2026-05-23_2b968ed3_डिजिटल गुरुकुल.txt
da33361a-8617-4815-b444-dd6d95f00bca	catalog-track	डिजिटल गुरुकुल	gurukul	Other / Misc	Hindi	High-energy Cyberpunk Phonk fused with Aggressive Indian Drill, crushing distort; (Chorus)	51	43	ffprobe-duration	false	_radio_index/suno_backup/lyrics/2026-05-23_da33361a_डिजिटल गुरुकुल.txt
f31751f4-ec55-4c42-a423-07f42895a464	catalog-track	कौतूहल की दुनिया में लॉजिक अपार है	kabir-clubbing	Rap & Fusion	Hindi	Rap & Fusion; (Chorus)	21	16	ffprobe-duration	false	_radio_index/suno_backup/lyrics/2026-05-23_f31751f4_लिटमस परिपथ.txt
cc265065-cce9-480d-8e32-6f6530047d9b	catalog-track	कक्षा सात का गणित प्रकाश	sanaatana-vaigyaniq	Sanatan & Vedic	Sanskrit	Sanatan & Vedic; (Chorus)	37	30	ffprobe-duration	false	_radio_index/suno_backup/lyrics/2026-05-23_cc265065_Shankhnaad Cowbell Drop.txt
05bb41b7-0a36-4c99-a245-d5d727f902c3	catalog-track	लिटमस परिपथ	gurukul	Other / Misc	Hindi	High-energy Cyberpunk Phonk, traditional Indian folk accents, punchy aggressive; (Chorus)	21	16	ffprobe-duration	false	_radio_index/suno_backup/lyrics/2026-05-23_05bb41b7_लिटमस परिपथ.txt
28ed327a-4860-4957-a494-fcd59d36bcd9	catalog-track	Shankhnaad Cowbell Drop	sanaatana-vaigyaniq	Sanatan & Vedic	English	High-energy Cyberpunk Phonk fused with Aggressive Indian Drill, crushing distort; (Chorus)	37	30	ffprobe-duration	false	_radio_index/suno_backup/lyrics/2026-05-23_28ed327a_Shankhnaad Cowbell Drop.txt
e038f00c-f649-44ca-8cc5-f2110a995703	catalog-track	कोष्ठक शंखनाद	sanaatana-vaigyaniq	Sanatan & Vedic	Sanskrit	Raw Aggressive Indian Drill Phonk, heavy distorted 808 sub-bass, crisp metallic; (Chorus)	18	12	ffprobe-duration	false	_radio_index/suno_backup/lyrics/2026-05-23_e038f00c_कोष्ठक शंखनाद.txt
bc9e8406-4ced-4d22-a476-896c9d6b31e3	catalog-track	कक्षा सात का गणित प्रकाश	sanaatana-vaigyaniq	Sanatan & Vedic	Sanskrit	Sanatan & Vedic; (Chorus)	18	12	ffprobe-duration	false	_radio_index/suno_backup/lyrics/2026-05-23_bc9e8406_कोष्ठक शंखनाद.txt
eae4f2af-ad53-414e-b47b-70dcd331427a	catalog-track	चांदी का सिक्का	kabir-clubbing	Rap & Fusion	Hindi	Aggressive Haryanvi Hyperrap fused with powerful Sufi Qawwali claps, high-impact; (Chorus)	46	39	ffprobe-duration	false	_radio_index/suno_backup/lyrics/2026-05-23_eae4f2af_चांदी का सिक्का.txt
961c3ee7-95d5-4fc3-86be-9fc9344cb1b1	catalog-track	चाणक्य की नीति गाओ	ameerpur	Haryanvi Folk	Haryanvi	Haryanvi Folk; (Chorus)	46	39	ffprobe-duration	false	_radio_index/suno_backup/lyrics/2026-05-23_961c3ee7_चांदी का सिक्का.txt
ee8190df-8ed5-4fd2-b83e-f6908dad6089	catalog-track	तेईस दशमलव पाँच	gurukul	Other / Misc	Hindi	High-energy Cyberpunk Phonk fused with Aggressive Indian Folk, punchy industrial; (Chorus)	48	41	ffprobe-duration	false	_radio_index/suno_backup/lyrics/2026-05-23_ee8190df_तेईस दशमलव पाँच.txt
5430725d-e817-463d-8233-7d08e6bb2a8c	catalog-track	दिन और रात का लूप चलता है	sanaatana-vaigyaniq	Sanatan & Vedic	Sanskrit	Sanatan & Vedic; (Chorus)	48	41	ffprobe-duration	false	_radio_index/suno_backup/lyrics/2026-05-23_5430725d_तेईस दशमलव पाँच.txt
7136ecc0-1cde-4b63-93df-1bd8100300b5	catalog-track	छट-छट चलती बुद्धि की गाड़ी	sanaatana-vaigyaniq	Sanatan & Vedic	Sanskrit	Sanatan & Vedic; (Chorus)	56	49	ffprobe-duration	false	_radio_index/suno_backup/lyrics/2026-05-23_7136ecc0_शंखनाद बाइनरी.txt
7ad70850-e3ae-4d26-b0e9-05197e2cb4f9	catalog-track	शंखनाद बाइनरी	sanaatana-vaigyaniq	Sanatan & Vedic	Sanskrit	Raw Aggressive Indian Drill Phonk, heavy distorted 808 bass, crisp metallic perc; (Chorus)	56	49	ffprobe-duration	false	_radio_index/suno_backup/lyrics/2026-05-23_7ad70850_शंखनाद बाइनरी.txt
ccd4fdeb-6879-4797-ae1f-f37fe6330b64	catalog-track	पिंगल-बाइनरी ट्राम	kabir-clubbing	Bhakti & Katha	Hindi	neural radio program for students	38	31	ffprobe-duration	false	_radio_index/suno_backup/lyrics/2026-05-22_ccd4fdeb_पिंगल-बाइनरी ट्राम.txt
f6051273-d0f3-41f7-b3fe-3b657023d007	catalog-track	🎵 3. सनातन वैज्ञानिक एक्सप्रेस गाना	sanaatana-vaigyaniq	Sanatan & Vedic	Sanskrit	Sanatan & Vedic	38	31	ffprobe-duration	false	_radio_index/suno_backup/lyrics/2026-05-22_f6051273_पिंगल-बाइनरी ट्राम.txt
289f8c8d-4172-4b06-aa7f-5a73fd559b01	catalog-track	🎙️ रेडियो सनातन वैज्ञानिक पर महा-अभिलेखागार का ल	sanaatana-vaigyaniq	Sanatan & Vedic	Sanskrit	Sanatan & Vedic	1	1	ffprobe-duration	false	_radio_index/suno_backup/lyrics/2026-05-22_289f8c8d_कोर लॉग्स लाइव.txt
